pmtid	relativeDE	Gain	TimeOffset	DarkRate
0	0.315953	9.45014e+06	1.08033	58672
1	0.297961	9.23963e+06	0.986206	53192.8
2	0.302544	9.32607e+06	1.30841	44837.1
3	0.303977	9.14976e+06	1.21349	50434.3
4	0.270117	1.04402e+07	1.13784	48513.5
5	0.330207	1.03184e+07	1.02826	51144.8
6	0.296727	1.0432e+07	1.13836	52636.1
7	0.294631	9.39241e+06	0.688869	50876.2
8	0.288411	9.69612e+06	0.876876	51456.2
9	0.314946	8.86243e+06	0.923124	55286.7
10	0.259839	8.2511e+06	1.15227	55985.9
11	0.232942	7.69129e+06	0.954639	47091.4
12	0.307402	8.49968e+06	1.32654	48429.9
13	0.324653	1.00123e+07	0.87021	49062.5
14	0.288406	8.58582e+06	1.12082	53455.1
15	0.300099	9.54578e+06	1.2213	47388.3
16	0.3209	1.03378e+07	1.16665	51454.3
17	0.27015	1.20063e+07	1.20709	50845.6
18	0.341003	9.99166e+06	0.884661	59088.2
19	0.285348	8.83673e+06	0.834018	56591.8
20	0.325167	9.96454e+06	0.858615	51364.6
21	0.27042	9.11496e+06	1.34924	50339.5
22	0.294925	1.06348e+07	0.734318	49905.4
23	0.307102	1.11005e+07	0.714837	47148.3
24	0.255861	1.00998e+07	0.638652	56475.3
25	0.333926	8.90505e+06	0.979031	45780.6
26	0.286974	9.57015e+06	1.0397	45918.6
27	0.31399	9.853e+06	0.95921	47381.1
28	0.293851	1.15324e+07	1.12085	56062.9
29	0.286737	9.54212e+06	1.02259	41799.2
30	0.2639	9.2593e+06	1.17024	40438.8
31	0.246304	9.72113e+06	0.552464	53259.2
32	0.253473	9.83339e+06	1.06881	45747.5
33	0.2665	9.72543e+06	0.803894	51909.1
34	0.322964	9.9946e+06	0.917856	41739.5
35	0.320007	7.89238e+06	0.953351	52019
36	0.311643	9.46922e+06	1.46685	48900.1
37	0.292275	1.03496e+07	0.92357	54843.4
38	0.300825	1.08626e+07	0.801214	50420.8
39	0.323237	9.30096e+06	0.975824	42889.4
40	0.266043	1.04277e+07	0.87717	49331.6
41	0.298039	1.06066e+07	0.793766	48319.5
42	0.280306	9.5892e+06	1.02327	53176.4
43	0.264218	1.16844e+07	1.31362	43152.8
